ean,name,brand,category,eu_countries,flag_nc,flag_cf,flag_fragrance_free,nc_basis,cf_basis,fragrance_basis,source_url,notes
0705604326937,Déodorant crème menthe citron vert,Le Moly,other-non-face,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/0705604326937/deodorant-creme-menthe-citron-vert-le-moly,Kategorie eher nicht Gesicht
3549620003093,Baume à lèvres à l'huile d'argan anti-âge,Le Petit Olivier,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3549620003093/baume-a-levres-a-l-huile-d-argan-anti-age-le-petit-olivier,
3549620007022,Crème douche extra douce Rose,Le Petit Olivier,other,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3549620007022/creme-douche-extra-douce-rose-le-petit-olivier,
3549629000024,Crème mains hydratante Huile d'olive,Le Petit Olivier,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3549629000024/creme-mains-hydratante-huile-d-olive-le-petit-olivier,
3549620020335,Huile sèche Karité et amande douce,Le Petit Olivier,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3549620020335/huile-seche-karite-et-amande-douce-le-petit-olivier,
3549620005035,Savonnettes extra douces Fleur d'oranger,Le Petit Olivier,other,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3549620005035/savonnettes-extra-douces-fleur-d-oranger-le-petit-olivier,
3549620005080,Savonnettes extra douces Fleur de cerisier,Le Petit Olivier,other,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3549620005080/savonnettes-extra-douces-fleur-de-cerisier-le-petit-olivier,
3549620008296,Shampooing soin aux extraits de pêche blanche fleur de vigne,Le Petit Olivier,hair,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3549620008296/shampooing-soin-aux-extraits-de-peche-blanche-fleur-de-vigne-le-petit-olivier,Kategorie eher nicht Gesicht
3549620008203,Shampooing soin aux extraits de Pêche Blanche Fleur de Vigne,Le Petit Olivier,hair,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3549620008203/shampooing-soin-aux-extraits-de-peche-blanche-fleur-de-vigne-le-petit-olivier,Kategorie eher nicht Gesicht
3549620008319,Shampooing soin aux huiles d'Olive Karité Argan,Le Petit Olivier,hair,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3549620008319/shampooing-soin-aux-huiles-d-olive-karite-argan-le-petit-olivier,Kategorie eher nicht Gesicht
3549620008333,Shampooing soin à l'extrait de grenade et huile d'argan,Le Petit Olivier,hair,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3549620008333/shampooing-soin-a-l-extrait-de-grenade-et-huile-d-argan-le-petit-olivier,Kategorie eher nicht Gesicht
3549620008227,Shampooing soin à l'extrait de Myrte Argile Rose,Le Petit Olivier,hair,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3549620008227/shampooing-soin-a-l-extrait-de-myrte-argile-rose-le-petit-olivier,Kategorie eher nicht Gesicht
3549620008302,Shampooing soin à l'extrait de Myrte Argile Rose,Le Petit Olivier,hair,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3549620008302/shampooing-soin-a-l-extrait-de-myrte-argile-rose-le-petit-olivier,Kategorie eher nicht Gesicht
3517360012040,Hydra aloe vera,Lea Nature So' Bio étic,other,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3517360012040/hydra-aloe-vera-lea-nature-so-bio-etic,
