ean,dan,name,brand,category,price,dm_url,flag_fragrance_free,flag_nc,flag_cf,dm_fragranceFree,dm_oilFree,dm_naturalCosmetics,dm_vegan,highlights,description,queries,source,checked_at
5999566331336,3131974,"Gesichtscreme Sonnenschutz 101 Zero Feel LSF 50, 75 ml",Geek&Gorgeous,Tagescreme > Gesichtspflege,"12,35 €",https://www.dm.de/applink/p/d/3131974/geek-und-gorgeous-gesichtscreme-sonnenschutz-101-zero-feel-lsf-50?appPageType=productdetails&appProductId=3131974&wt_mc=dm-mcp,yes,no,no,True,False,False,True,"Mit Lichtschutzfaktor 50, Schutz vor UVA- und UVB-Strahlen, Schnell einziehend, matt, nicht fettend – kein weißer Film, ","Gesichtscreme Sunscreen Gentle Zero Feel LSF 50 von Geek & Gorgeous ist eine sanfte, breitbandige Sonnencreme mit modernen organischen Filtern, die zu",The Ordinary Azelaic,dm-mcp-searchProducts,2026-09-04
5999566330292,1459264,"Gesichtsserum 101 A-Game-10 0.1% Retinal, 30 ml",Geek&Gorgeous,Serum & Kur > Gesichtspflege,"18,35 €",https://www.dm.de/applink/p/d/1459264/geek-und-gorgeous-gesichtsserum-101-a-game-10-0-1-prozent-retinal?appPageType=productdetails&appProductId=1459264&wt_mc=dm-mcp,yes,no,no,True,True,False,True,"Retinal Serum, Kann Hautalterung entgegenwirken, Sorgt für Elastizität, Für glatte und ebenmäßige Haut",Das Retinal A-Game 10 Serum von Geek & Gorgeous kann ersten Alterungsanzeichen der Haut entgegenwirken. Das enthaltene Retinal wird aus Vitamin A gebi,The Ordinary Azelaic,dm-mcp-searchProducts,2026-09-04
5999566330797,2978218,"Gesichtsserum 101 A-Game-20 0,2% Retinal, 30 ml",Geek&Gorgeous,Serum & Kur > Gesichtspflege,"22,35 €",https://www.dm.de/applink/p/d/2978218/geek-und-gorgeous-gesichtsserum-101-a-game-20-0-2-prozent-retinal?appPageType=productdetails&appProductId=2978218&wt_mc=dm-mcp,yes,no,no,True,True,False,False,"Gesichtsserum, Fördert die Spannkraft der Haut, Mindert sichtbare Zeichen der Hautalterung, Verleiht einen frischeren, j","Das Serum 101 A-Game 0,2% Ret. von Geek&Gorgeous bietet eine innovative Lösung zur Bekämpfung der Hautalterung. Mit einer seidigen Emulsion, die 0,2% ",The Ordinary Azelaic,dm-mcp-searchProducts,2026-09-04
5999566330223,1306173,"Gesichtsserum 101 A-Game-5 0,05% Retinal, 30 ml",Geek&Gorgeous,Serum & Kur > Gesichtspflege,"12,85 €",https://www.dm.de/applink/p/d/1306173/geek-und-gorgeous-gesichtsserum-101-a-game-5-0-05-prozent-retinal?appPageType=productdetails&appProductId=1306173&wt_mc=dm-mcp,yes,no,no,True,True,False,True,"Serum mit Retinal, Reduziert Falten und mildert Pigmentflecken, Seidig-leichte Formel mit 0,05% Retinal (mittelstarke Ko","Das mittelstarke A-Game 5 Serum mit 0,05% Retinal von Geek&Gorgeous kann für die Reduzierung der Falten sowie für die Milderung von Pigmentflecken sor",The Ordinary Azelaic,dm-mcp-searchProducts,2026-09-04
5999566330162,1306172,"Gesichtsserum 101 B-Bomb 10%Niacinamide, 30 ml",Geek&Gorgeous,Serum & Kur > Gesichtspflege,"8,35 €",https://www.dm.de/applink/p/d/1306172/geek-und-gorgeous-gesichtsserum-101-b-bomb-10-prozent-niacinamide?appPageType=productdetails&appProductId=1306172&wt_mc=dm-mcp,yes,no,no,True,False,False,True,"Serum, Beruhigt die Haut und mildert Pigmentflecken, Leichte, hydratisierende Formel mit 10% Niacinamid, Mit Zink PCA un","Das B-Bomb von Geek & Gorgeous ist ein Serum für ölige und unreine Haut mit einer Konzentration von 10% Niacinamid, angereichert mit Zink PCA und Sark",Niacinamid Serum | The Ordinary Azelaic,dm-mcp-searchProducts,2026-09-04
5999566330155,1306163,"Gesichtsserum 101 C-Glow 15% Vitamin C, 30 ml",Geek&Gorgeous,Serum & Kur > Gesichtspflege,"12,35 €",https://www.dm.de/applink/p/d/1306163/geek-und-gorgeous-gesichtsserum-101-c-glow-15-prozent-vitamin-c?appPageType=productdetails&appProductId=1306163&wt_mc=dm-mcp,yes,no,no,True,False,False,True,"Serum mit 15% Vitamin C, Mit Antioxidantien (Ferulasäure und Vitamin E), Schutz vor freien Radikalen, Für einen ebenmäßi",Das C-Glow Serum von Geek&Gorgeous mit 15-prozentigem Vitamin C kann Pigmentflecken reduzieren und der Haut einen sofortigen Glow verleihen. Außerdem ,The Ordinary Azelaic,dm-mcp-searchProducts,2026-09-04
5999566330124,1459262,"Gesichtsserum 101 HA 5 Light, 30 ml",Geek&Gorgeous,Serum & Kur > Gesichtspflege,"9,35 €",https://www.dm.de/applink/p/d/1459262/geek-und-gorgeous-gesichtsserum-101-ha-5-light?appPageType=productdetails&appProductId=1459262&wt_mc=dm-mcp,yes,no,no,True,True,False,True,"Gesichtsserum, Spendet Feuchtigkeit, Sorgt für ein pralleres Hautbild, Leichte, schnell absorbierende Formel, Mit 5 Form","Das HA 5 Light Serum von Geek & Gorgeous enthält fünf Arten von Hyaluronsäure, die besonders feuchtigkeitsspendend sind. Neben der enthaltenen Hyaluro",The Ordinary Azelaic,dm-mcp-searchProducts,2026-09-04
5999566330131,1464991,"Gesichtsserum 101 HA 5 Rich, 30 ml",Geek&Gorgeous,Serum & Kur > Gesichtspflege,"9,35 €",https://www.dm.de/applink/p/d/1464991/geek-und-gorgeous-gesichtsserum-101-ha-5-rich?appPageType=productdetails&appProductId=1464991&wt_mc=dm-mcp,no,no,no,False,False,False,True,"Gesichtsserum, Für trockene und normale Haut geeignet, Enthält 5 Arten von Hyaluronsäure, Für ein pralles Hautbild",Das HA 5 Rich Serum von Geek & Gorgeous spendet trockener bis normaler Haut intensive Feuchtigkeit. Die Formel enthält fünf Arten der Hyaluronsäure mi,The Ordinary Azelaic,dm-mcp-searchProducts,2026-09-04
5999566330360,1465778,"Gesichtsserum 101 Porefectly Clear, 30 ml",Geek&Gorgeous,Serum & Kur > Gesichtspflege,"7,35 €",https://www.dm.de/applink/p/d/1465778/geek-und-gorgeous-gesichtsserum-101-porefectly-clear?appPageType=productdetails&appProductId=1465778&wt_mc=dm-mcp,no,no,no,False,True,False,True,"Gesichtsserum, Bekämpft Mitesser, Gelartige Textur mit 2% Salicylsäure und Sarkosin, Porentiefe Reinigung",Das Porefectly Clear Serum von Geek & Gorgeous wirkt überschüssiger Talgproduktion sowie den Begleiterscheinungen entgegen. Das Serum mit 2% Salicylsä,Niacinamid Serum | Salicylsäure Gesicht | The Ordinary Azelaic,dm-mcp-searchProducts,2026-09-04
5999566330148,1465001,"Gesichtsserum 101 aPAD, 30 ml",Geek&Gorgeous,Serum & Kur > Gesichtspflege,"11,35 €",https://www.dm.de/applink/p/d/1465001/geek-und-gorgeous-gesichtsserum-101-apad?appPageType=productdetails&appProductId=1465001&wt_mc=dm-mcp,yes,no,no,True,True,False,True,"Gesichtsserum, Für ölige Haut geeignet, Talgproduktion wird reguliert, Feuchtigkeitsspendend","Das aPAD Gesichtsserum von Geek & Gorgeous enthält 20% Azeclair sowie eine beruhigende Formel, die sich ideal für ölige Haut eignet. Die Talgproduktio",The Ordinary Azelaic,dm-mcp-searchProducts,2026-09-04
5999566330261,1306224,"Waschgel 101 Jelly Joker, 150 ml",Geek&Gorgeous,Gesichtsreinigung,"9,35 €",https://www.dm.de/applink/p/d/1306224/geek-und-gorgeous-waschgel-101-jelly-joker?appPageType=productdetails&appProductId=1306224&wt_mc=dm-mcp,yes,no,no,True,True,False,True,"Sanfter Cleanser, Mit Jellytextur, Intensive Reinigung der Haut, Entfernt Make-up und befreit die Haut vor Verunreinigun","Der Jelly Joker Cleanser von Geek&Gorgeous sorgt dank der Jellytextur für eine intensive Reinigung, ohne sie auszutrocknen. Die sanften Tenside entfer",Gesichtsreinigung ohne Duftstoffe,dm-mcp-searchProducts,2026-09-04
4066447986181,2486244,"Babybad Hafermilch, 200 ml",HALLOHEBAMME,"Babyshampoo, Badezusätze & Co. > Babypflege","3,95 €",https://www.dm.de/applink/p/d/2486244/hallohebamme-babybad-hafermilch?appPageType=productdetails&appProductId=2486244&wt_mc=dm-mcp,yes,no,no,True,False,False,False,"Badezusatz für Babys, Pflegendes Badevergnügen, Mit Bio-Hafermilch und Bio-Mandelöl, Reinigt mild ohne auszutrocknen, Fü",Das Babybad Hafermilch von HALLOHEBAMME reinigt die zarte Babyhaut besonders sanft und pflegt sie zugleich. Die Komposition aus Bio-Hafermilch und Bio,Baby Pflege parfümfrei | Baby Creme ohne Parfum,dm-mcp-searchProducts,2026-09-04
8806334355302,1871198,"Feuchtigkkeitspflege Aloe 99% Soothing Gel, 0,25 l",HOLIKA HOLIKA,After Sun > Sonnenpflege,"8,95 €",https://www.dm.de/applink/p/d/1871198/holika-holika-feuchtigkkeitspflege-aloe-99-prozent-soothing-gel?appPageType=productdetails&appProductId=1871198&wt_mc=dm-mcp,no,no,no,False,True,False,True,"Aloe Vera Gel, Mit 99 % fermentiertem Aloe-Vera-Saft, Intensiv feuchtigkeitsspendend, Leichte, nicht klebrige Textur, Id",Intensive Feuchtigkeit für den ganzen Körper schenkt die Feuchtigkeitspflege Aloe 99% Soothing Gel von HOLIKA HOLIKA. Das vegane Gel mit 99 % fermenti,The Ordinary Azelaic,dm-mcp-searchProducts,2026-09-04
