"brand","listing_url","region","categories","source_url","retrieved_date"
"Moss & Adams","https://www.crueltyfreeinternational.org/approved-brands/listing/moss-and-adams/","Africa & The Middle East; Australia & New Zealand; Europe; South & Central America; USA & Canada","Cosmetic and Personal Care Products: Body; Household & Cleaning Products: Household Cleaning | Home Fragrance / Air Care","https://www.crueltyfreeinternational.org/approved-brands/?_page=13&num=20&sort=","2026-09-04"
"Mother Nailture","https://www.crueltyfreeinternational.org/approved-brands/listing/mother-nailture/","Europe","Cosmetic and Personal Care Products: Body","https://www.crueltyfreeinternational.org/approved-brands/?_page=13&num=20&sort=","2026-09-04"
"Mother's Earth","https://www.crueltyfreeinternational.org/approved-brands/listing/mothers-earth/","Europe","Household & Cleaning Products: Household Cleaning | Laundry","https://www.crueltyfreeinternational.org/approved-brands/?_page=13&num=20&sort=","2026-09-04"
"MUA Makeup Academy","https://www.crueltyfreeinternational.org/approved-brands/listing/mua-make-up-academy/","","Cosmetic and Personal Care Products: Face","https://www.crueltyfreeinternational.org/approved-brands/?_page=13&num=20&sort=","2026-09-04"
"Mum&You","https://www.crueltyfreeinternational.org/approved-brands/listing/mum-and-you/","Europe","Cosmetic and Personal Care Products: Babies & Children | Body | Face | Hair Care","https://www.crueltyfreeinternational.org/approved-brands/?_page=13&num=20&sort=","2026-09-04"
"Nakin","https://www.crueltyfreeinternational.org/approved-brands/listing/nakin/","Asia; Europe","Cosmetic and Personal Care Products: Face","https://www.crueltyfreeinternational.org/approved-brands/?_page=13&num=20&sort=","2026-09-04"
"Nala's Baby","https://www.crueltyfreeinternational.org/approved-brands/listing/nalas-baby/","Europe","Cosmetic and Personal Care Products: Babies & Children | Body | Hair Care","https://www.crueltyfreeinternational.org/approved-brands/?_page=13&num=20&sort=","2026-09-04"
"Natroma","https://www.crueltyfreeinternational.org/approved-brands/listing/natroma/","Europe","Cosmetic and Personal Care Products: Babies & Children | Body | Face | Fragrance and Aromatherapy | Hair Care","https://www.crueltyfreeinternational.org/approved-brands/?_page=13&num=20&sort=","2026-09-04"
"Natura","https://www.crueltyfreeinternational.org/approved-brands/listing/natura/","Europe; South & Central America","Cosmetic and Personal Care Products: Babies & Children | Body | Face | Fragrance and Aromatherapy | Hair Care | Makeup","https://www.crueltyfreeinternational.org/approved-brands/?_page=13&num=20&sort=","2026-09-04"
"Natural by Nature Oils","https://www.crueltyfreeinternational.org/approved-brands/listing/natural-by-nature-oils/","","Cosmetic and Personal Care Products: Babies & Children | Body | Face | Fragrance and Aromatherapy | Hair Care","https://www.crueltyfreeinternational.org/approved-brands/?_page=13&num=20&sort=","2026-09-04"
"Naturally Tiwa Skincare","https://www.crueltyfreeinternational.org/approved-brands/listing/naturally-tiwa-skincare/","Europe","Cosmetic and Personal Care Products: Babies & Children | Body | Face | Fragrance and Aromatherapy | Hair Care","https://www.crueltyfreeinternational.org/approved-brands/?_page=13&num=20&sort=","2026-09-04"
"Nature's Divine","https://www.crueltyfreeinternational.org/approved-brands/listing/natures-divine/","Europe","Cosmetic and Personal Care Products: Babies & Children | Body | Face | Hair Care","https://www.crueltyfreeinternational.org/approved-brands/?_page=13&num=20&sort=","2026-09-04"
"Neal & Wolf","https://www.crueltyfreeinternational.org/approved-brands/listing/neal-and-wolf/","Europe","Cosmetic and Personal Care Products: Babies & Children | Body | Fragrance and Aromatherapy | Hair Care","https://www.crueltyfreeinternational.org/approved-brands/?_page=13&num=20&sort=","2026-09-04"
"Neal's Yard Remedies","https://www.crueltyfreeinternational.org/approved-brands/listing/neals-yard-remedies/","","Cosmetic and Personal Care Products: Babies & Children | Body | Face | Fragrance and Aromatherapy | Hair Care | Makeup","https://www.crueltyfreeinternational.org/approved-brands/?_page=13&num=20&sort=","2026-09-04"
"NEX ENVIRONMENT","https://www.crueltyfreeinternational.org/approved-brands/listing/nex-environemnt/","","Cosmetic and Personal Care Products: Body | Face | Hair Care","https://www.crueltyfreeinternational.org/approved-brands/?_page=13&num=20&sort=","2026-09-04"
"NICE","https://www.crueltyfreeinternational.org/approved-brands/listing/nice/","Europe","Cosmetic and Personal Care Products: Babies & Children | Body | Face; Companion Animal Products: Home Cleaning","https://www.crueltyfreeinternational.org/approved-brands/?_page=13&num=20&sort=","2026-09-04"
"nimonths+","https://www.crueltyfreeinternational.org/approved-brands/listing/nimonths/","Asia; Australia & New Zealand; USA & Canada","Cosmetic and Personal Care Products: Babies & Children | Body | Face","https://www.crueltyfreeinternational.org/approved-brands/?_page=13&num=20&sort=","2026-09-04"
"Noughty","https://www.crueltyfreeinternational.org/approved-brands/listing/noughty/","","Cosmetic and Personal Care Products: Body | Face | Hair Care","https://www.crueltyfreeinternational.org/approved-brands/?_page=14&num=20&sort=","2026-09-04"
"Nourish London","https://www.crueltyfreeinternational.org/approved-brands/listing/nourish-london/","","Cosmetic and Personal Care Products: Body | Face | Hair Care","https://www.crueltyfreeinternational.org/approved-brands/?_page=14&num=20&sort=","2026-09-04"
"NOVARETIN","https://www.crueltyfreeinternational.org/approved-brands/listing/novaretin/","Europe","Cosmetic and Personal Care Products: Body | Face | Fragrance and Aromatherapy | Hair Care","https://www.crueltyfreeinternational.org/approved-brands/?_page=14&num=20&sort=","2026-09-04"
"NSFA Beauty","https://www.crueltyfreeinternational.org/approved-brands/listing/not-so-funny-any/","Europe","Cosmetic and Personal Care Products: Body | Face | Makeup","https://www.crueltyfreeinternational.org/approved-brands/?_page=14&num=20&sort=","2026-09-04"
"Nunaia","https://www.crueltyfreeinternational.org/approved-brands/listing/nunaia/","Australia & New Zealand; Europe","Cosmetic and Personal Care Products: Face","https://www.crueltyfreeinternational.org/approved-brands/?_page=14&num=20&sort=","2026-09-04"
"Nursem","https://www.crueltyfreeinternational.org/approved-brands/listing/nursem/","Asia; Australia & New Zealand; Europe","Cosmetic and Personal Care Products: Body | Fragrance and Aromatherapy","https://www.crueltyfreeinternational.org/approved-brands/?_page=14&num=20&sort=","2026-09-04"
"Nutmeg","https://www.crueltyfreeinternational.org/approved-brands/listing/nutmeg/","Europe","Cosmetic and Personal Care Products: Babies & Children | Body | Face | Fragrance and Aromatherapy | Hair Care","https://www.crueltyfreeinternational.org/approved-brands/?_page=14&num=20&sort=","2026-09-04"
"O Boticário","https://www.crueltyfreeinternational.org/approved-brands/listing/oboticario/","Africa & The Middle East; Asia; Australia & New Zealand; Europe; South & Central America","Cosmetic and Personal Care Products: Babies & Children | Body | Face | Fragrance and Aromatherapy | Hair Care | Makeup","https://www.crueltyfreeinternational.org/approved-brands/?_page=14&num=20&sort=","2026-09-04"
"O.U.I","https://www.crueltyfreeinternational.org/approved-brands/listing/oui/","Africa & The Middle East; Asia; Australia & New Zealand; Europe; South & Central America; USA & Canada","Cosmetic and Personal Care Products: Body | Face | Fragrance and Aromatherapy | Hair Care | Makeup","https://www.crueltyfreeinternational.org/approved-brands/?_page=14&num=20&sort=","2026-09-04"
"Obvs Skincare","https://www.crueltyfreeinternational.org/approved-brands/listing/obvs-skincare/","Europe","Cosmetic and Personal Care Products: Babies & Children | Body | Face | Makeup","https://www.crueltyfreeinternational.org/approved-brands/?_page=14&num=20&sort=","2026-09-04"
"Oio Lab","https://www.crueltyfreeinternational.org/approved-brands/listing/oio-lab/","Australia & New Zealand; Europe; USA & Canada","Cosmetic and Personal Care Products: Body | Face | Hair Care | Makeup","https://www.crueltyfreeinternational.org/approved-brands/?_page=14&num=20&sort=","2026-09-04"
"Okiki Skincare","https://www.crueltyfreeinternational.org/approved-brands/listing/okiki-skincare/","Europe","Cosmetic and Personal Care Products: Babies & Children | Body | Face | Fragrance and Aromatherapy | Hair Care","https://www.crueltyfreeinternational.org/approved-brands/?_page=14&num=20&sort=","2026-09-04"
"Omorovicza","https://www.crueltyfreeinternational.org/approved-brands/listing/omorovicza/","","Cosmetic and Personal Care Products: Body | Face | Fragrance and Aromatherapy | Makeup","https://www.crueltyfreeinternational.org/approved-brands/?_page=14&num=20&sort=","2026-09-04"
"Organic Skin Australia","https://www.crueltyfreeinternational.org/approved-brands/listing/organic-skin-australia/","Australia & New Zealand","Cosmetic and Personal Care Products: Face | Fragrance and Aromatherapy","https://www.crueltyfreeinternational.org/approved-brands/?_page=14&num=20&sort=","2026-09-04"
"Organicspa","https://www.crueltyfreeinternational.org/approved-brands/listing/organicspa-2/","Africa & The Middle East; Asia; Australia & New Zealand; Europe; USA & Canada","Cosmetic and Personal Care Products: Babies & Children | Body | Face | Fragrance and Aromatherapy | Hair Care | Makeup","https://www.crueltyfreeinternational.org/approved-brands/?_page=14&num=20&sort=","2026-09-04"
"OXX","https://www.crueltyfreeinternational.org/approved-brands/listing/oxx/","Australia & New Zealand","Cosmetic and Personal Care Products: Body | Face | Fragrance and Aromatherapy | Hair Care | Makeup","https://www.crueltyfreeinternational.org/approved-brands/?_page=14&num=20&sort=","2026-09-04"
"P.Louise","https://www.crueltyfreeinternational.org/approved-brands/listing/plouise/","Europe; South & Central America","Cosmetic and Personal Care Products: Body | Face | Makeup","https://www.crueltyfreeinternational.org/approved-brands/?_page=14&num=20&sort=","2026-09-04"
"Pai Skincare","https://www.crueltyfreeinternational.org/approved-brands/listing/pai-skincare/","Europe","Cosmetic and Personal Care Products: Babies & Children | Body | Face","https://www.crueltyfreeinternational.org/approved-brands/?_page=14&num=20&sort=","2026-09-04"
"Paixao","https://www.crueltyfreeinternational.org/approved-brands/listing/paixao/","South & Central America","Cosmetic and Personal Care Products: Body | Fragrance and Aromatherapy","https://www.crueltyfreeinternational.org/approved-brands/?_page=14&num=20&sort=","2026-09-04"
"Paladone","https://www.crueltyfreeinternational.org/approved-brands/listing/paladone/","","","https://www.crueltyfreeinternational.org/approved-brands/?_page=14&num=20&sort=","2026-09-04"
"Pamoja","https://www.crueltyfreeinternational.org/approved-brands/listing/pamoja-skincare/","Europe","Cosmetic and Personal Care Products: Face","https://www.crueltyfreeinternational.org/approved-brands/?_page=15&num=20&sort=","2026-09-04"
"PARLA","https://www.crueltyfreeinternational.org/approved-brands/listing/parla/","Europe","Cosmetic and Personal Care Products: Body","https://www.crueltyfreeinternational.org/approved-brands/?_page=15&num=20&sort=","2026-09-04"
"Penneys","https://www.crueltyfreeinternational.org/approved-brands/listing/penneys/","Europe","Cosmetic and Personal Care Products: Body | Face | Fragrance and Aromatherapy | Hair Care | Makeup","https://www.crueltyfreeinternational.org/approved-brands/?_page=15&num=20&sort=","2026-09-04"
"People of the Earth","https://www.crueltyfreeinternational.org/approved-brands/listing/people-of-the-earth/","Asia; Australia & New Zealand; Europe; South & Central America; USA & Canada","Cosmetic and Personal Care Products: Babies & Children | Body | Makeup","https://www.crueltyfreeinternational.org/approved-brands/?_page=15&num=20&sort=","2026-09-04"
"Perfect Girl","https://www.crueltyfreeinternational.org/approved-brands/listing/perfect-girl/","Europe","Cosmetic and Personal Care Products: Face | Makeup","https://www.crueltyfreeinternational.org/approved-brands/?_page=15&num=20&sort=","2026-09-04"
"Peros","https://www.crueltyfreeinternational.org/approved-brands/listing/peros/","Africa & The Middle East; Asia; Australia & New Zealand; Europe; South & Central America; USA & Canada","Cosmetic and Personal Care Products: Body; Household & Cleaning Products: Household Cleaning","https://www.crueltyfreeinternational.org/approved-brands/?_page=15&num=20&sort=","2026-09-04"
"PHB Ethical Beauty","https://www.crueltyfreeinternational.org/approved-brands/listing/phb-ethical-beauty/","Europe","","https://www.crueltyfreeinternational.org/approved-brands/?_page=15&num=20&sort=","2026-09-04"
"philosophy","https://www.crueltyfreeinternational.org/approved-brands/listing/philosophy/","","Cosmetic and Personal Care Products: Body | Face | Fragrance and Aromatherapy","https://www.crueltyfreeinternational.org/approved-brands/?_page=15&num=20&sort=","2026-09-04"
"Phoenix Crown","https://www.crueltyfreeinternational.org/approved-brands/listing/phoenix-crown/","Europe","Cosmetic and Personal Care Products: Hair Care","https://www.crueltyfreeinternational.org/approved-brands/?_page=15&num=20&sort=","2026-09-04"
"Pike's Pouches","https://www.crueltyfreeinternational.org/approved-brands/listing/pikes-pouches/","Europe","Cosmetic and Personal Care Products: Body | Face | Hair Care","https://www.crueltyfreeinternational.org/approved-brands/?_page=15&num=20&sort=","2026-09-04"
"Planted Skincare","https://www.crueltyfreeinternational.org/approved-brands/listing/planted-skincare/","","Cosmetic and Personal Care Products: Babies & Children | Body | Face","https://www.crueltyfreeinternational.org/approved-brands/?_page=15&num=20&sort=","2026-09-04"
"Poppin' Yang","https://www.crueltyfreeinternational.org/approved-brands/listing/poppin-yang/","Europe","Cosmetic and Personal Care Products: Face | Hair Care","https://www.crueltyfreeinternational.org/approved-brands/?_page=15&num=20&sort=","2026-09-04"
"Primark","https://www.crueltyfreeinternational.org/approved-brands/listing/primark/","Europe","Cosmetic and Personal Care Products: Body | Face | Fragrance and Aromatherapy | Hair Care | Makeup","https://www.crueltyfreeinternational.org/approved-brands/?_page=15&num=20&sort=","2026-09-04"
"Primavera Life","https://www.crueltyfreeinternational.org/approved-brands/listing/primavera-life/","","Cosmetic and Personal Care Products: Babies & Children | Body | Face | Fragrance and Aromatherapy","https://www.crueltyfreeinternational.org/approved-brands/?_page=15&num=20&sort=","2026-09-04"
"Pura Vie","https://www.crueltyfreeinternational.org/approved-brands/listing/pura-vie/","Europe","Cosmetic and Personal Care Products: Babies & Children | Body | Face","https://www.crueltyfreeinternational.org/approved-brands/?_page=15&num=20&sort=","2026-09-04"
"Pure Argan Co","https://www.crueltyfreeinternational.org/approved-brands/listing/pure-argan-co/","","Cosmetic and Personal Care Products: Babies & Children | Body | Fragrance and Aromatherapy | Hair Care","https://www.crueltyfreeinternational.org/approved-brands/?_page=15&num=20&sort=","2026-09-04"
"Pure Chemistry","https://www.crueltyfreeinternational.org/approved-brands/listing/pure-chemistry/","","Cosmetic and Personal Care Products: Body | Face | Hair Care | Makeup","https://www.crueltyfreeinternational.org/approved-brands/?_page=15&num=20&sort=","2026-09-04"
"Pure Project","https://www.crueltyfreeinternational.org/approved-brands/listing/pure-project-2/","Europe; USA & Canada","Cosmetic and Personal Care Products: Babies & Children | Body | Face | Fragrance and Aromatherapy | Hair Care","https://www.crueltyfreeinternational.org/approved-brands/?_page=15&num=20&sort=","2026-09-04"
"Purearth","https://www.crueltyfreeinternational.org/approved-brands/listing/pure-earth/","Africa & The Middle East; Asia; Australia & New Zealand; Europe; South & Central America; USA & Canada","Cosmetic and Personal Care Products: Body | Face | Hair Care | Makeup","https://www.crueltyfreeinternational.org/approved-brands/?_page=15&num=20&sort=","2026-09-04"
"Purextracts","https://www.crueltyfreeinternational.org/approved-brands/listing/purextracts/","Europe","Cosmetic and Personal Care Products: Body","https://www.crueltyfreeinternational.org/approved-brands/?_page=15&num=20&sort=","2026-09-04"
"Pyykkiarkki","https://www.crueltyfreeinternational.org/approved-brands/listing/pyykkiarkki/","Europe","Household & Cleaning Products: Laundry","https://www.crueltyfreeinternational.org/approved-brands/?_page=16&num=20&sort=","2026-09-04"
"Quem disse, Berenice","https://www.crueltyfreeinternational.org/approved-brands/listing/quem-disse-berenice-2/","Africa & The Middle East; Asia; Australia & New Zealand; Europe; South & Central America; USA & Canada","Cosmetic and Personal Care Products: Body | Face | Fragrance and Aromatherapy | Hair Care | Makeup","https://www.crueltyfreeinternational.org/approved-brands/?_page=16&num=20&sort=","2026-09-04"
"Raven Botanicals","https://www.crueltyfreeinternational.org/approved-brands/listing/raven-botanicals/","Europe","Cosmetic and Personal Care Products: Body | Face","https://www.crueltyfreeinternational.org/approved-brands/?_page=16&num=20&sort=","2026-09-04"
"Rebul","https://www.crueltyfreeinternational.org/approved-brands/listing/rebul/","Africa & The Middle East; Asia; Europe","Cosmetic and Personal Care Products: Body | Face | Fragrance and Aromatherapy","https://www.crueltyfreeinternational.org/approved-brands/?_page=16&num=20&sort=","2026-09-04"
"REFY","https://www.crueltyfreeinternational.org/approved-brands/listing/refy/","","Cosmetic and Personal Care Products: Body | Makeup","https://www.crueltyfreeinternational.org/approved-brands/?_page=16&num=20&sort=","2026-09-04"
"Rhug Wild Beauty","https://www.crueltyfreeinternational.org/approved-brands/listing/rhug-wild-beauty/","Africa & The Middle East; Asia; Europe; USA & Canada","Cosmetic and Personal Care Products: Body | Face","https://www.crueltyfreeinternational.org/approved-brands/?_page=16&num=20&sort=","2026-09-04"
"Rimmel London","https://www.crueltyfreeinternational.org/approved-brands/listing/rimmel-london/","","Cosmetic and Personal Care Products: Body | Face | Makeup","https://www.crueltyfreeinternational.org/approved-brands/?_page=16&num=20&sort=","2026-09-04"
"Risqué","https://www.crueltyfreeinternational.org/approved-brands/listing/risque/","South & Central America; USA & Canada","Cosmetic and Personal Care Products: Body","https://www.crueltyfreeinternational.org/approved-brands/?_page=16&num=20&sort=","2026-09-04"
"RSPCA","https://www.crueltyfreeinternational.org/approved-brands/listing/rspca/","Europe","Household & Cleaning Products: Household Cleaning | Home Fragrance / Air Care | Laundry | Car Care","https://www.crueltyfreeinternational.org/approved-brands/?_page=16&num=20&sort=","2026-09-04"
"S'able Labs","https://www.crueltyfreeinternational.org/approved-brands/listing/sable-labs/","Europe","Cosmetic and Personal Care Products: Face","https://www.crueltyfreeinternational.org/approved-brands/?_page=16&num=20&sort=","2026-09-04"
"Sacred","https://www.crueltyfreeinternational.org/approved-brands/listing/sacred/","Europe","Household & Cleaning Products: Household Cleaning | Home Fragrance / Air Care","https://www.crueltyfreeinternational.org/approved-brands/?_page=16&num=20&sort=","2026-09-04"
"Safeway","https://www.crueltyfreeinternational.org/approved-brands/listing/safeway/","Europe","Cosmetic and Personal Care Products: Babies & Children | Body | Face","https://www.crueltyfreeinternational.org/approved-brands/?_page=16&num=20&sort=","2026-09-04"
"Sainsburys","https://www.crueltyfreeinternational.org/approved-brands/listing/sainsburys/","Europe","Cosmetic and Personal Care Products: Babies & Children | Body | Face | Fragrance and Aromatherapy | Hair Care; Household & Cleaning Products: Household Cleaning | Home Fragrance / Air Care","https://www.crueltyfreeinternational.org/approved-brands/?_page=16&num=20&sort=","2026-09-04"
"SAIRA","https://www.crueltyfreeinternational.org/approved-brands/listing/saira/","Europe","Cosmetic and Personal Care Products: Body","https://www.crueltyfreeinternational.org/approved-brands/?_page=16&num=20&sort=","2026-09-04"
"Salt of the Earth","https://www.crueltyfreeinternational.org/approved-brands/listing/salt-of-the-earth/","Africa & The Middle East; Europe","Cosmetic and Personal Care Products: Body","https://www.crueltyfreeinternational.org/approved-brands/?_page=16&num=20&sort=","2026-09-04"
"SAMAYA Ayurveda","https://www.crueltyfreeinternational.org/approved-brands/listing/samaya-ayurveda/","","Cosmetic and Personal Care Products: Face","https://www.crueltyfreeinternational.org/approved-brands/?_page=16&num=20&sort=","2026-09-04"
"Sanctum","https://www.crueltyfreeinternational.org/approved-brands/listing/sanctum-2/","Africa & The Middle East; Asia; Australia & New Zealand; Europe; USA & Canada","Cosmetic and Personal Care Products: Babies & Children | Body | Face | Fragrance and Aromatherapy | Hair Care | Makeup","https://www.crueltyfreeinternational.org/approved-brands/?_page=16&num=20&sort=","2026-09-04"
"Sansin","https://www.crueltyfreeinternational.org/approved-brands/listing/sansin/","Europe","Cosmetic and Personal Care Products: Babies & Children | Body; Household & Cleaning Products: Household Cleaning | Home Fragrance / Air Care | Laundry | Car Care","https://www.crueltyfreeinternational.org/approved-brands/?_page=16&num=20&sort=","2026-09-04"
"Santaverde","https://www.crueltyfreeinternational.org/approved-brands/listing/santaverde/","Asia; Europe","Cosmetic and Personal Care Products: Body | Face","https://www.crueltyfreeinternational.org/approved-brands/?_page=16&num=20&sort=","2026-09-04"
"Sarafumi","https://www.crueltyfreeinternational.org/approved-brands/listing/sarafumi/","Europe","Cosmetic and Personal Care Products: Body | Face | Fragrance and Aromatherapy; Household & Cleaning Products: Home Fragrance / Air Care","https://www.crueltyfreeinternational.org/approved-brands/?_page=16&num=20&sort=","2026-09-04"
"SBTRCT Skincare","https://www.crueltyfreeinternational.org/approved-brands/listing/sbtrct-skincare/","Europe","Cosmetic and Personal Care Products: Body | Face | Fragrance and Aromatherapy","https://www.crueltyfreeinternational.org/approved-brands/?_page=17&num=20&sort=","2026-09-04"
"Scott & Lawson","https://www.crueltyfreeinternational.org/approved-brands/listing/scott-and-lawson/","Australia & New Zealand; Europe","Cosmetic and Personal Care Products: Body","https://www.crueltyfreeinternational.org/approved-brands/?_page=17&num=20&sort=","2026-09-04"
"Sculpted by Aimee","https://www.crueltyfreeinternational.org/approved-brands/listing/sculpted-by-aimee/","Australia & New Zealand; Europe","Cosmetic and Personal Care Products: Face","https://www.crueltyfreeinternational.org/approved-brands/?_page=17&num=20&sort=","2026-09-04"
"Seeds of Colour","https://www.crueltyfreeinternational.org/approved-brands/listing/seeds-of-colour/","Europe","Cosmetic and Personal Care Products: Makeup","https://www.crueltyfreeinternational.org/approved-brands/?_page=17&num=20&sort=","2026-09-04"
"Seniha Skincare","https://www.crueltyfreeinternational.org/approved-brands/listing/seniha-skincare/","Europe","Cosmetic and Personal Care Products: Body","https://www.crueltyfreeinternational.org/approved-brands/?_page=17&num=20&sort=","2026-09-04"
"Sensapur","https://www.crueltyfreeinternational.org/approved-brands/listing/sensapur/","Europe","Cosmetic and Personal Care Products: Face","https://www.crueltyfreeinternational.org/approved-brands/?_page=17&num=20&sort=","2026-09-04"
"Sensatia","https://www.crueltyfreeinternational.org/approved-brands/listing/sensatia/","Africa & The Middle East; Asia; Europe","Cosmetic and Personal Care Products: Babies & Children | Body | Face | Fragrance and Aromatherapy | Hair Care","https://www.crueltyfreeinternational.org/approved-brands/?_page=17&num=20&sort=","2026-09-04"
"SensiLait","https://www.crueltyfreeinternational.org/approved-brands/listing/sensilait/","Europe","Cosmetic and Personal Care Products: Face","https://www.crueltyfreeinternational.org/approved-brands/?_page=17&num=20&sort=","2026-09-04"
"Seresilk","https://www.crueltyfreeinternational.org/approved-brands/listing/seresilk/","Australia & New Zealand","Cosmetic and Personal Care Products: Face","https://www.crueltyfreeinternational.org/approved-brands/?_page=17&num=20&sort=","2026-09-04"
"Shades of London","https://www.crueltyfreeinternational.org/approved-brands/listing/shades-of-london/","Europe","Cosmetic and Personal Care Products: Makeup","https://www.crueltyfreeinternational.org/approved-brands/?_page=17&num=20&sort=","2026-09-04"
"Shedid & Parrish","https://www.crueltyfreeinternational.org/approved-brands/listing/shedid-and-parrish/","Europe","Cosmetic and Personal Care Products: Hair Care","https://www.crueltyfreeinternational.org/approved-brands/?_page=17&num=20&sort=","2026-09-04"
"SHEGLAM","https://www.crueltyfreeinternational.org/approved-brands/listing/sheglam/","","Cosmetic and Personal Care Products: Body | Face | Makeup","https://www.crueltyfreeinternational.org/approved-brands/?_page=17&num=20&sort=","2026-09-04"
"Silvan Skincare","https://www.crueltyfreeinternational.org/approved-brands/listing/silvan-skincare/","Europe","Cosmetic and Personal Care Products: Body | Face","https://www.crueltyfreeinternational.org/approved-brands/?_page=17&num=20&sort=","2026-09-04"
"Siskyn Skincare Oils","https://www.crueltyfreeinternational.org/approved-brands/listing/siskyn-skincare-oils/","","Cosmetic and Personal Care Products: Body","https://www.crueltyfreeinternational.org/approved-brands/?_page=17&num=20&sort=","2026-09-04"
"SIVENO","https://www.crueltyfreeinternational.org/approved-brands/listing/siveno/","Africa & The Middle East; Asia; Europe","Cosmetic and Personal Care Products: Babies & Children | Body | Face | Fragrance and Aromatherapy | Hair Care; Household & Cleaning Products: Household Cleaning | Home Fragrance / Air Care","https://www.crueltyfreeinternational.org/approved-brands/?_page=17&num=20&sort=","2026-09-04"
"Skin Deep","https://www.crueltyfreeinternational.org/approved-brands/listing/skin-deep/","Europe","Cosmetic and Personal Care Products: Babies & Children | Body | Face","https://www.crueltyfreeinternational.org/approved-brands/?_page=17&num=20&sort=","2026-09-04"
"Skin Formulas","https://www.crueltyfreeinternational.org/approved-brands/listing/skin-formulas/","Europe","Cosmetic and Personal Care Products: Body | Face | Makeup","https://www.crueltyfreeinternational.org/approved-brands/?_page=17&num=20&sort=","2026-09-04"
"Smol Products","https://www.crueltyfreeinternational.org/approved-brands/listing/smol-products/","Europe","Cosmetic and Personal Care Products: Body | Hair Care; Household & Cleaning Products: Household Cleaning","https://www.crueltyfreeinternational.org/approved-brands/?_page=17&num=20&sort=","2026-09-04"
"Soak Sunday","https://www.crueltyfreeinternational.org/approved-brands/listing/soak-sunday/","Africa & The Middle East; Australia & New Zealand; Europe","Cosmetic and Personal Care Products: Body | Fragrance and Aromatherapy","https://www.crueltyfreeinternational.org/approved-brands/?_page=17&num=20&sort=","2026-09-04"
"Soap & Glory","https://www.crueltyfreeinternational.org/approved-brands/listing/soap-and-glory/","","Cosmetic and Personal Care Products: Body | Face | Fragrance and Aromatherapy | Hair Care | Makeup","https://www.crueltyfreeinternational.org/approved-brands/?_page=17&num=20&sort=","2026-09-04"
"Soap Valley","https://www.crueltyfreeinternational.org/approved-brands/listing/soap-valley/","Europe","Cosmetic and Personal Care Products: Body | Face","https://www.crueltyfreeinternational.org/approved-brands/?_page=18&num=20&sort=","2026-09-04"
"Soaphoria","https://www.crueltyfreeinternational.org/approved-brands/listing/soaphoria/","Europe","Cosmetic and Personal Care Products: Babies & Children | Body | Face | Hair Care | Makeup","https://www.crueltyfreeinternational.org/approved-brands/?_page=18&num=20&sort=","2026-09-04"
"SOFT & DELICATE","https://www.crueltyfreeinternational.org/approved-brands/listing/soft-delicate/","Europe","Cosmetic and Personal Care Products: Babies & Children | Body | Face; Companion Animal Products: Home Cleaning","https://www.crueltyfreeinternational.org/approved-brands/?_page=18&num=20&sort=","2026-09-04"
"Softy","https://www.crueltyfreeinternational.org/approved-brands/listing/softy/","Europe","Cosmetic and Personal Care Products: Babies & Children | Body | Face; Household & Cleaning Products: Household Cleaning | Home Fragrance / Air Care | Laundry","https://www.crueltyfreeinternational.org/approved-brands/?_page=18&num=20&sort=","2026-09-04"
"Soho Skin","https://www.crueltyfreeinternational.org/approved-brands/listing/soho-skin/","Australia & New Zealand; Europe; USA & Canada","","https://www.crueltyfreeinternational.org/approved-brands/?_page=18&num=20&sort=","2026-09-04"
"Solitaire UK Ltd","https://www.crueltyfreeinternational.org/approved-brands/listing/solitaire-uk-ltd/","Europe","Cosmetic and Personal Care Products: Body","https://www.crueltyfreeinternational.org/approved-brands/?_page=18&num=20&sort=","2026-09-04"
"soluCLEAN","https://www.crueltyfreeinternational.org/approved-brands/listing/soluclean/","","Household & Cleaning Products: Household Cleaning","https://www.crueltyfreeinternational.org/approved-brands/?_page=18&num=20&sort=","2026-09-04"
"SoluPak","https://www.crueltyfreeinternational.org/approved-brands/listing/solupak/","","Household & Cleaning Products: Household Cleaning","https://www.crueltyfreeinternational.org/approved-brands/?_page=18&num=20&sort=","2026-09-04"
"St. Moriz","https://www.crueltyfreeinternational.org/approved-brands/listing/st-moriz/","Australia & New Zealand; Europe; USA & Canada","Cosmetic and Personal Care Products: Body | Face","https://www.crueltyfreeinternational.org/approved-brands/?_page=18&num=20&sort=","2026-09-04"
"Stardrops","https://www.crueltyfreeinternational.org/approved-brands/listing/stardrops/","Australia & New Zealand; Europe","Household & Cleaning Products: Household Cleaning","https://www.crueltyfreeinternational.org/approved-brands/?_page=18&num=20&sort=","2026-09-04"
"STEREO","https://www.crueltyfreeinternational.org/approved-brands/listing/stereo/","","Cosmetic and Personal Care Products: Body | Face | Hair Care","https://www.crueltyfreeinternational.org/approved-brands/?_page=18&num=20&sort=","2026-09-04"
"Strange Luxury","https://www.crueltyfreeinternational.org/approved-brands/listing/strange-luxury/","Australia & New Zealand","Cosmetic and Personal Care Products: Face","https://www.crueltyfreeinternational.org/approved-brands/?_page=18&num=20&sort=","2026-09-04"
